Player,Capped/Uncapped,Team,Sold/Unsold,Base Price (cr),Winning Bid (cr)
Ashwin Hebbar,Uncapped,,Unsold,0.3,
Rohan Kunnummal,Uncapped,,Unsold,0.3,
Ayush Pandey,Uncapped,,Unsold,0.3,
Akshat Raghuwanshi,Uncapped,,Unsold,0.3,
Virat Singh,Uncapped,,Unsold,0.3,
Prerak Mankad,Uncapped,,Unsold,0.3,
Vicky Ostwal,Uncapped,,Unsold,0.3,
Shivalik Sharma,Uncapped,,Unsold,0.3,
Salil Arora,Uncapped,,Unsold,0.3,
Dinesh Bana,Uncapped,,Unsold,0.3,
Ajitesh Guruswamy,Uncapped,,Unsold,0.3,
Narayan Jagadeesan,Uncapped,,Unsold,0.3,
Vishnu Solanki,Uncapped,,Unsold,0.3,
K.M Asif,Uncapped,,Unsold,0.3,
Akhil Chaudhary,Uncapped,,Unsold,0.3,
Himanshu Chauhan,Uncapped,,Unsold,0.3,
Arpit Guleria,Uncapped,,Unsold,0.3,
Nishanth Saranu,Uncapped,,Unsold,0.3,
Kuldip Yadav,Uncapped,,Unsold,0.3,
Prithviraj Yarra,Uncapped,,Unsold,0.3,
Shubham Agrawal,Uncapped,,Unsold,0.3,
Jass Inder Baidwan,Uncapped,,Unsold,0.3,
Jasmer Dhankhar,Uncapped,,Unsold,0.3,
Pulkit Narang,Uncapped,,Unsold,0.3,
Saumy Pandey,Uncapped,,Unsold,0.3,
Himanshu Singh,Uncapped,,Unsold,0.3,
Tanmay Agarwal,Uncapped,,Unsold,0.3,
Amandeep Khare,Uncapped,,Unsold,0.3,
Ayush Mhatre,Uncapped,,Unsold,0.3,
Salman Nizar,Uncapped,,Unsold,0.3,
Sumeet Verma,Uncapped,,Unsold,0.3,
Manan Vohra,Uncapped,,Unsold,0.3,
Samarth Vyas,Uncapped,,Unsold,0.3,
Emanjot Chahal,Uncapped,,Unsold,0.3,
Mayank Rawat,Uncapped,,Unsold,0.3,
Hritik Shokeen,Uncapped,,Unsold,0.3,
Sonu Yadav,Uncapped,,Unsold,0.3,
S. Rithik Easwaran,Uncapped,,Unsold,0.3,
Anmol Malhotra,Uncapped,,Unsold,0.3,
Pradosh Paul,Uncapped,,Unsold,0.3,
Karteek Sharma,Uncapped,,Unsold,0.3,
Akash Singh,Uncapped,,Unsold,0.3,
Tejasvi Singh,Uncapped,,Unsold,0.3,
Siddharth Yadav,Uncapped,,Unsold,0.3,
Saurabh Dubey,Uncapped,,Unsold,0.3,
Aaqib Khan,Uncapped,,Unsold,0.3,
Ankit Singh Rajpoot,Uncapped,,Unsold,0.3,
Divesh Sharma,Uncapped,,Unsold,0.3,
Naman Tiwari,Uncapped,,Unsold,0.3,
Kunal Singh Chibb,Uncapped,,Unsold,0.3,
Yuvraj Chudasama,Uncapped,,Unsold,0.3,
Deepak Devadiga,Uncapped,,Unsold,0.3,
Ramesh Prasad,Uncapped,,Unsold,0.3,
Shivam Shukla,Uncapped,,Unsold,0.3,
Himanshu Singh,Uncapped,,Unsold,0.3,
Tejpreet Singh,Uncapped,,Unsold,0.3,
Musaif Ajaz,Uncapped,,Unsold,0.3,
Agni Chopra,Uncapped,,Unsold,0.3,
Abhimanyu Easwaran,Uncapped,,Unsold,0.3,
Sudip Gharami,Uncapped,,Unsold,0.3,
Shubham Khajuria,Uncapped,,Unsold,0.3,
Akhil Rawat,Uncapped,,Unsold,0.3,
Prateek Yadav,Uncapped,,Unsold,0.3,
Abdul Bazith,Uncapped,,Unsold,0.3,
K.C Cariappa,Uncapped,,Unsold,0.3,
Aman Khan,Uncapped,,Unsold,0.3,
Sumit Kumar,Uncapped,,Unsold,0.3,
Hardik Raj,Uncapped,,Unsold,0.3,
Harsh Tyagi,Uncapped,,Unsold,0.3,
M. Ajnas,Uncapped,,Unsold,0.3,
Unmukt Chand,Uncapped,,Unsold,0.3,
Tejasvi Dahiya,Uncapped,,Unsold,0.3,
Sumit Ghadigaonkar,Uncapped,,Unsold,0.3,
Baba Indrajith,Uncapped,,Unsold,0.3,
Muhammed Khan,Uncapped,,Unsold,0.3,
